employee_id,first_name,last_name,role,department,office,years_with_company,assigned_project,security_clearance
RS-001,Susan,Young,Research Scientist,Research,Boston,7,Biomarker Discovery,Trade Secret
RS-002,John,Wright,Research Scientist,Research,Boston,22,Biomarker Discovery,Trade Secret
RS-003,Matthew,Adams,Research Scientist,Research,Tucson,10,Biomarker Discovery,Trade Secret
RS-004,Mario,Hammond,Research Scientist,Research,Boston,23,Analytical Chemistry,Trade Secret
RS-005,Roger,Silva,Research Scientist,Research,Boston,17,Biomarker Discovery,Trade Secret
RS-006,Jennifer,Lewis,Research Scientist,Research,Tucson,2,Analytical Chemistry,Trade Secret
RS-007,Christopher,Lang,Research Scientist,Research,Tucson,1,Analytical Chemistry,Trade Secret
RS-008,Keith,Miller,Research Scientist,Research,Tucson,25,Analytical Chemistry,Trade Secret
RS-009,Ann,Garrison,Research Scientist,Research,Boston,9,Clinical Support,Trade Secret
RS-010,Michelle,Jones,Research Scientist,Research,Tucson,11,Clinical Support,Trade Secret
RS-011,Jon,Roberts,Research Scientist,Research,Boston,25,Biomarker Discovery,Trade Secret
RS-012,Monica,Martin,Research Scientist,Research,Boston,21,Analytical Chemistry,Trade Secret
RS-013,Timothy,Gardner,Research Scientist,Research,Boston,18,HELIX,Trade Secret
RS-014,Tammy,Castaneda,Research Scientist,Research,Boston,25,HELIX,Trade Secret
RS-015,Carla,Wade,Research Scientist,Research,Boston,25,Clinical Support,Trade Secret
RS-016,Peter,Johnston,Research Scientist,Research,Tucson,23,HELIX,Trade Secret
RS-017,Emily,Ortiz,Research Scientist,Research,Boston,13,Clinical Support,Trade Secret
RS-018,Linda,Smith,Research Scientist,Research,Boston,15,Clinical Support,Trade Secret
RS-019,Victoria,Floyd,Research Scientist,Research,Boston,1,Biomarker Discovery,Trade Secret
RS-020,Derrick,Johnson,Research Scientist,Research,Boston,19,Analytical Chemistry,Trade Secret
RS-021,Leslie,Alvarez,Research Scientist,Research,Tucson,3,Analytical Chemistry,Trade Secret
RS-022,Timothy,James,Research Scientist,Research,Boston,14,Clinical Support,Trade Secret
RS-023,Karen,Lynch,Research Scientist,Research,Tucson,24,Clinical Support,Trade Secret
RS-024,Nicole,Warner,Research Scientist,Research,Tucson,11,Clinical Support,Trade Secret
RS-025,Justin,Lee,Research Scientist,Research,Tucson,4,Biomarker Discovery,Trade Secret
RS-026,Julie,Patton,Research Scientist,Research,Tucson,10,Biomarker Discovery,Trade Secret
RS-027,Michelle,Munoz,Research Scientist,Research,Boston,1,HELIX,Trade Secret
RS-028,Leslie,Anderson,Research Scientist,Research,Boston,21,Biomarker Discovery,Trade Secret
RS-029,John,Mcdonald,Research Scientist,Research,Boston,22,Biomarker Discovery,Trade Secret
RS-030,Lisa,Mason,Research Scientist,Research,Boston,1,Clinical Support,Trade Secret
RS-031,Jason,Crawford,Research Scientist,Research,Boston,20,Analytical Chemistry,Trade Secret
RS-032,Michael,Sanders,Research Scientist,Research,Boston,12,Clinical Support,Trade Secret
RS-033,James,Rosario,Research Scientist,Research,Boston,17,Clinical Support,Trade Secret
RS-034,Tonya,Davis,Research Scientist,Research,Boston,24,Biomarker Discovery,Trade Secret
RS-035,Leslie,Burton,Research Scientist,Research,Boston,18,Analytical Chemistry,Trade Secret
RS-036,Travis,Bradley,Research Scientist,Research,Tucson,8,Clinical Support,Trade Secret
RS-037,Karen,Shaw,Research Scientist,Research,Boston,7,Clinical Support,Trade Secret
RS-038,Elizabeth,Hall,Research Scientist,Research,Tucson,6,Analytical Chemistry,Trade Secret
RS-039,Carol,Richmond,Research Scientist,Research,Tucson,12,Biomarker Discovery,Trade Secret
RS-040,Sara,Klein,Research Scientist,Research,Boston,9,Clinical Support,Trade Secret
RS-041,George,Knight,Research Scientist,Research,Tucson,8,Analytical Chemistry,Trade Secret
RS-042,Brittany,Brown,Research Scientist,Research,Boston,17,Analytical Chemistry,Trade Secret
RS-043,Kenneth,Holland,Research Scientist,Research,Boston,18,Biomarker Discovery,Trade Secret
RS-044,Mary,Cisneros,Research Scientist,Research,Tucson,23,HELIX,Trade Secret
RS-045,Thomas,Butler,Research Scientist,Research,Boston,0,Clinical Support,Trade Secret
RS-046,Angelica,Sullivan,Research Scientist,Research,Tucson,4,HELIX,Trade Secret
RS-047,Jamie,Brooks,Research Scientist,Research,Boston,11,Biomarker Discovery,Trade Secret
RS-048,Kevin,Bates,Research Scientist,Research,Boston,14,Biomarker Discovery,Trade Secret
RS-049,Jorge,Stephens,Research Scientist,Research,Boston,20,Analytical Chemistry,Trade Secret
RS-050,Rhonda,Wallace,Research Scientist,Research,Tucson,5,Analytical Chemistry,Trade Secret
RS-051,Nicholas,Reilly,Research Scientist,Research,Boston,21,Biomarker Discovery,Trade Secret
RS-052,Abigail,Hayes,Research Scientist,Research,Boston,7,Analytical Chemistry,Trade Secret
RS-053,Jason,Robinson,Research Scientist,Research,Boston,6,Analytical Chemistry,Trade Secret
RS-054,Chelsea,Vega,Research Scientist,Research,Tucson,5,Clinical Support,Trade Secret
RS-055,Kelly,Wallace,Research Scientist,Research,Boston,4,Biomarker Discovery,Trade Secret
RS-056,David,Keller,Research Scientist,Research,Tucson,19,Analytical Chemistry,Trade Secret
RS-057,Kevin,Wood,Research Scientist,Research,Tucson,0,Clinical Support,Trade Secret
RS-058,Cynthia,Kennedy,Research Scientist,Research,Boston,5,Analytical Chemistry,Trade Secret
RS-059,Madeline,Nolan,Research Scientist,Research,Tucson,10,HELIX,Trade Secret
