action,alert,assigned_project,change,department,device,document,employee_id,event_type,file,instrument,name,office,recipient_department,record,role,security_clearance,status,system,timestamp
,,Infrastructure,,Information Technology,,,IT-033,login,,,Amy Zamora,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-09 07:01:00
,,Endpoint Security,,Information Technology,,,IT-012,login,,,Travis Davies,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-09 07:06:00
,,Infrastructure,,Information Technology,,,IT-032,login,,,Sara Hernandez,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-09 07:10:00
,,Endpoint Security,,Information Technology,,,IT-034,login,,,Erin Wilson,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-09 07:10:00
,,Endpoint Security,,Information Technology,,,IT-003,login,,,Marvin Davis,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-09 07:11:00
,,Research Portfolio,,Executive Leadership,,,EX-010,login,,,Martin Harris,Boston,,,Executive Leadership,Trade Secret,,,2026-01-09 07:12:00
,,Infrastructure,,Information Technology,,,IT-013,login,,,James Cooper,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-09 07:13:00
,,Cloud Migration,,Information Technology,,,IT-009,login,,,Nicholas Stein,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-09 07:14:00
,,Endpoint Security,,Information Technology,,,IT-014,login,,,Jennifer Clark,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-09 07:16:00
,,Endpoint Security,,Information Technology,,,IT-006,login,,,Donald Gill,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-09 07:21:00
,,Identity Modernization,,Information Technology,,,IT-025,login,,,Amanda Gordon,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-09 07:24:00
,,Corporate Strategy,,Executive Leadership,,,EX-006,login,,,Leroy Garcia,Tucson,,,Executive Leadership,Trade Secret,,,2026-01-09 07:26:00
,,Technology Modernization,,Executive Leadership,,,EX-005,login,,,Cynthia Silva,Boston,,,Executive Leadership,Trade Secret,,,2026-01-09 07:27:00
,,Technology Modernization,,Executive Leadership,,,EX-009,login,,,Abigail Garcia,Tucson,,,Executive Leadership,Trade Secret,,,2026-01-09 07:28:00
